Termo Principal;Possíveis Duplicatas;Total Variações;Frequência Somada
Propriedade dinâmica;Dinâmica (100%) | Propriedade (100%) | Propriedade dinâmica (100%) | Propriedades dinâmicas (95%) | Propriedade Z (92%) | Propriedade umbílica (80%) | Propriedades físicas (80%) | URL dinâmica (80%);8;22
Educação - computadores na escola;Computadores (100%) | Educação (100%) | Educação - computadores na escola (100%) | Escola (100%) | Arte na educação (81%) | Educação - Cuba (80%) | Educação CTS (80%) | TV Escola (80%);8;367
Teoria literária;Sociologia - teoria literária (100%) | Teoria (100%) | Teoria literária (100%) | História literária (88%) | Escrita literária (85%) | Distopia literária (82%) | Estética literária (82%) | Teoria deliberativa (80%);8;29
Controle concentrado de constitucionalidade;Controle (100%) | Controle concentrado de constitucionalidade (100%) | Controle de constitucionalidade (100%) | Leis - constitucionalidade (84%) | Controle PD (84%) | Controle de arco (81%) | Controle de taxa (81%) | Controle LMS (80%);8;59
Controle cervical;Controle (100%) | Controle cervical (100%) | Controle PD (84%) | Controle vetorial (82%) | Controle social (81%) | Controle gerencial (80%) | Controle LMS (80%) | Dor cervical (80%);8;86
Teoria combinatória de grupos;Grupos (100%) | Teoria (100%) | Teoria combinatória de grupos (100%) | Teoria de grupos (100%) | Teoria dos grupos (87%) | Grupos de Lie (82%) | Teoria de Lie (82%) | Teoria de Mie (82%);8;47
Reabilitação cardiopulmonar;Reabilitação (100%) | Reabilitação cardiopulmonar (100%) | Reabilitação pulmonar (88%) | Reabilitação cardiovascular (85%) | Ressuscitação cardiopulmonar (84%) | Teste cardiopulmonar (82%) | Parada cardiopulmonar (80%) | Ressucitação cardio-pulmoner (80%);8;71
Lagarto - genética;Genética (100%) | Lagarto (100%) | Lagarto - genética (100%) | Lagarta - genética (94%) | Lagarto - genitália (86%) | Gado - genética (85%) | Cavalo - genética (80%) | Soja - genética (80%);8;88
Internet - aspectos jurídicos;Internet (100%) | Internet - aspectos jurídicos (100%) | Internet - uso (83%) | Internet - aspectos sociológicos (82%) | Biodiversidade - conservação - aspectos jurídicos (82%) | Tecnologia da informação  - aspectos jurídicos (82%) | Trabalho - aspectos jurídicos (82%) | Violência doméstica - aspectos jurídicos - Brasil (82%);8;119
Avaliação de portal;Avaliação (100%) | Avaliação de portal (100%) | Avaliação de programa (85%) | Avaliação de Programas (83%) | Avaliação de curso (80%) | Avaliação de empresas (80%) | Avaliação de projetos (80%) | Avaliação de risco (80%);8;111
Regressão linear;Análise de regressão linear múltipla (100%) | Linear (100%) | Regressão (100%) | Regressão linear (100%) | Regressão linear hierárquica (100%) | Regressão linear múltipla (100%) | Regressão não linear (100%) | Regressão beta (80%);8;15
Direito à cultura;Cultura (100%) | Direito (100%) | Direito à cultura (100%) | Direitos culturais (86%) | Direito biocultural (83%) | Distrito Cultural (82%) | Direito à terra (81%) | Direito natural (81%);8;200
Transformação de Ribaucour horizontal;Horizontal (100%) | Transformação (100%) | Transformação de Ribaucour (100%) | Transformação de Ribaucour horizontal (100%) | Calor de transformação (84%) | Transformação de fases (84%) | Transformação de Bohlin (82%) | Transformação de Floquet (80%);8;8
Computação de alto desempenho;Computação (100%) | Computação de alto desempenho (100%) | Desempenho (100%) | Concreto de alto desempenho (82%) | Desempenho de salto (81%) | Norma de desempenho (81%) | Redes de computação (81%) | Teste de desempenho (81%);8;100
Animal - proteção - legislação;Animal - proteção (100%) | Animal - proteção - legislação (100%) | Legislação (100%) | Proteção (100%) | Ave - proteção (83%) | Água - proteção (80%) | Aves - proteção (80%) | Solo - proteção (80%);8;37
Energia - baixo consumo;Consumo (100%) | Energia (100%) | Energia - baixo consumo (100%) | Energia - consumo (100%) | Consumo de energia - redução (85%) | Energia elétrica - consumo (85%) | Energia elétrica - consumo - ar condicionado (85%) | Energia elétrica - consumo - Brasil (85%);8;95
Desejabilidade social;Desejabilidade social (100%) | Social (100%) | Habilidade social (84%) | Estabilidade local (82%) | Responsabilidade Social (82%) | Sustentabilidade social (82%) | Realidade social (81%) | Desigualdade social (80%);8;102
Teatro - terapia;Teatro (100%) | Teatro - terapia (100%) | Terapia (100%) | Teatro - prática (81%) | Teatro - técnica (81%) | Arte - terapia (80%) | Riso - terapia (80%) | Teatro - cenografia (80%);8;82
Avaliação de imóveis;Avaliação (100%) | Avaliação de imóveis (100%) | Métricas de avaliação (83%) | Avaliação de riscos (82%) | Avaliação de curso (80%) | Avaliação de impacto (80%) | Avaliação de risco (80%) | Métodos de avaliação (80%);8;112
Integração Regional;Integração (100%) | Integração Regional (100%) | Integração regional - América Latina (100%) | Integração regional - Brasil (100%) | Integração regional - Europa (100%) | Integração regional aérea (100%) | Integração nacional (84%) | Interação remota (80%);8;47
Rejeitos;Barragens de rejeitos (100%) | Rejeitos (100%) | Rejeitos de mineração (100%) | Rejeitos de mineração - densidade (100%) | Rejeitos de minério de ferro (100%) | Rejeitos metalúrgicos (100%) | Rejeitos orgânicos (100%) | Prefeitos (82%);8;36
Energia cinética;Cinética (100%) | Energia (100%) | Energia cinética (100%) | Teoria cinética (84%) | Energia elétrica (81%) | Energia mecânica (81%) | Energia eólica (80%) | Energia óptica (80%);8;92
Teatro - política;Política (100%) | Teatro (100%) | Teatro - política (100%) | Teatro Político (88%) | Teatro - prática (85%) | Negros - política (82%) | Arte - política (81%) | Voto - política (81%);8;176
Água - consumo;Água (100%) | Água - consumo (100%) | Água - consumo - previsão (100%) | Consumo (100%) | Protozoário - água - consumo (100%) | Indicadores de consumo de água (92%) | Açúcar - consumo (87%) | Frutas - consumo (80%);8;111
Produção de Significados;Produção (100%) | Produção de Significados (100%) | Significado do produto (87%) | Produção de sentidos (82%) | Produção de café (81%) | Produção de feno (81%) | Produção de óleo (81%) | Reconstituição de significados (81%);8;17
Adequação;Adequação (100%) | Adequação curricular (100%) | Adequação das consequências (100%) | Adequação de receita (100%) | Adequação sociotécnica (100%) | Análise de adequação (100%) | Inadequação (90%) | Adubação (82%);8;21
Emergência;Administração da emergência (100%) | Emergência (100%) | Emergência de saúde pública (100%) | Hospitais - serviço de emergência (100%) | Medidas de emergência (100%) | Serviço hospitalar de emergência (100%) | Serviços médicos de emergência (100%) | Emergências (95%);8;24
Direito à informação - Maranhão (Estado);Direito (100%) | Direito à informação (100%) | Direito à informação - Maranhão (Estado) (100%) | Informação (100%) | Maranhão (Estado) (100%) | Maranhão (Estado) - história (81%) | Direito de acesso à informação (80%) | Informação - direito de acesso (80%);8;159
Regime Geral da Previdência Social;Previdência (100%) | Previdência social (100%) | Regime Geral da Previdência Social (100%) | Social (100%) | Previdência social rural (86%) | Regime Próprio de Previdência Social (RPPS) (85%) | Previdência social privada (82%) | Previdência social - Brasil (80%);8;89
ISolos - análise;Análise (100%) | ISolos - análise (100%) | Solos - análise (97%) | Solo - análise (93%) | Óleos - análise (90%) | Jogos - análise (84%) | Contos - análise (81%) | Esgoto - análise (81%);8;104
Inventário;Inventário (100%) | Inventário ecológico urbano (100%) | Inventário florestal (100%) | Inventário Florestal Nacional (IFN) (100%) | Inventário florístico (100%) | Inventário participativo (100%) | Inventário patrimonial (100%) | Inventários (95%);8;24
Comunicação através da terra;Comunicação (100%) | Comunicação através da terra (100%) | Terra (100%) | Comunicações através da terra (95%) | Comunicação D2D (85%) | Comunicação oral (81%) | Teoria da comunicação (80%) | Uso da terra (80%);8;152
Intervenção (Direito internacional público);Intervenção (100%) | Intervenção (Direito internacional público) (100%) | Intervenção (Direito internacional público) - armas de fogo (100%) | Ato internacional (87%) | Ajuda internacional (81%) | Mídia internacional (81%) | Moeda internacional (81%) | Direito internacional público (81%);8;33
Migração interna;Migração (100%) | Migração interna (100%) | Migração interna - aspectos psicológicos (100%) | Migração interna - Distrito Federal (Brasil) (100%) | Migração Internacional (84%) | Comunicação interna (80%) | Internalização (80%) | migração síria (80%);8;93
Intérpretes;Formação de tradutores e intérpretes de Línguas de Sinais (100%) | Intérpretes (100%) | Intérpretes - competências (100%) | Intérpretes - formação (100%) | Intérpretes de Libras (100%) | Professores intérpretes (100%) | Refúgio - solicitação Intérpretes (100%) | Res interpretata (81%);8;12
Comunicação - internet;Comunicação (100%) | Comunicação - internet (100%) | Internet (100%) | Comunicação interna (88%) | Comunicação D2D (85%) | Internet - uso (83%) | Comunicação oral (81%) | Comunicação - teoria (81%);8;240
Interpretação de língua de sinais;Estudos da Tradução e da Interpretação de Língua de Sinais (100%) | Interpretação (100%) | Interpretação de língua de sinais (100%) | Língua (100%) | Língua de sinais (100%) | Tradutor e intérprete de língua de sinais (82%) | Interpretação de sonhos (82%) | Interpretação vocal (81%);8;56
Interpretação da constituição;Constituição (100%) | Interpretação (100%) | Interpretação da constituição (100%) | Brasil. Constituição - interpretação (95%) | Teoria da interpretação (82%) | Interpretação vocal (81%) | Teoria da Constituição (81%) | Constituição - EUA (80%);8;28
Anistia - legislação;Anistia (100%) | Anistia - legislação (100%) | Legislação (100%) | Legislação urbanística (86%) | Legislação sanitária (85%) | Trânsito - legislação (83%) | Ensino - legislação (82%) | Legislação - Brasil (82%);8;31
Aderência;Aderência (100%) | Aderência pneu-pavimento (100%) | Concreto armado - aderência (100%) | Geossintéticos - aderência (100%) | Inibição de aderência (100%) | Modelo de Aderência Variável (MAV) (100%) | Demência (82%) | Gerência (82%);8;32
Direito à privacidade;Direito (100%) | Direito à privacidade (100%) | Privacidade (100%) | Sociedade da informação - direito à privacidade (100%) | Sociedade do consumo - direito à privacidade (100%) | Direito à cidade (86%) | Direito à propriedade (81%) | Direito à vida (80%);8;105
Método de contorno;Método (100%) | Método de contorno (100%) | Método de contorno sem malha (100%) | Método de elementos de contorno virtual (100%) | Método dos Elementos de Contorno (100%) | Método dos elementos de contorno dual (100%) | Método Q (86%) | Método de Newton (82%);8;52
Comunicação (Filosofia);Comunicação (100%) | Comunicação (Filosofia) (100%) | Comunicação - teoria (Filosofia) (100%) | Ato (Filosofia) (85%) | Comunicação D2D (85%) | Ser (Filosofia) (85%) | Comunicação oral (81%) | Significação (Filosofia) (81%);8;136
Vacinação;Hepatite D - vacinação (100%) | Vacinação (100%) | Vacinação - adesão (100%) | Vacinação animal (100%) | Vacinação antirrábica (100%) | Vacinação em massa (100%) | Vacinação infantil (100%) | Variação (82%);8;38
Bem-estar social - Brasil;Bem-estar (100%) | Bem-estar social (100%) | Bem-estar social - Brasil (100%) | Brasil (100%) | Social (100%) | Bem-estar social - Uruguai (86%) | Mídia social - Brasil (83%) | TV Brasil (80%);8;246
Água - microbiologia;Água (100%) | Água - microbiologia (100%) | Microbiologia (100%) | Alface - microbiologia (86%) | Alimentos - microbiologia (86%) | Leite - microbiologia industrial (86%) | Microbiologia médica - patologia molecular (86%) | Sabonete - microbiologia farmacêutica (86%);8;96
Metodologia compartilhada;Metodologia (100%) | Metodologia compartilhada (100%) | Metodologia BIM (85%) | Metodologia GDE (85%) | Memória compartilhada (83%) | Metodologia ágil (81%) | Metodologia iRAP (81%) | Economia compartilhada (81%);8;65
Insegurança alimentar;Insegurança (100%) | Insegurança alimentar (100%) | Insegurança alimentar e nutricional (100%) | Insegurança alimentar grave (100%) | Segurança alimentar (95%) | Segurança alimentar - Brasil (82%) | Segurança do alimento (81%) | Soberania alimentar (80%);8;67
Dinâmica de mudança estrutural;Dinâmica (100%) | Dinâmica de mudança estrutural (100%) | Dinâmica estrutural (100%) | Mudança (100%) | Mudança estrutural (100%) | Arte estrutural (80%) | Mudança estrutural - Brasil (80%) | URL dinâmica (80%);8;57
Mídia digital - educação;Educação (100%) | Educação digital (100%) | Mídia (100%) | Mídia digital (100%) | Mídia digital - educação (100%) | Educação - Cuba (80%) | Educação CTS (80%) | Políca Nacional de Educação Digital (PNED) (80%);8;430
Religião e sociologia;Religião (100%) | Religião e sociologia (100%) | Sociologia (100%) | Sociologia da religião (95%) | Religião e Psicologia (90%) | Religião e mitologia (88%) | Sociologia - relações (81%) | Arte e religião (80%);8;132
Rendimento acadêmico - avaliação;Avaliação (100%) | Rendimento (100%) | Rendimento acadêmico - avaliação (100%) | Rendimento escolar - avaliação (85%) | Caju - avaliação (81%) | Dano - avaliação (81%) | Ensino superior - rendimento escolar - avaliação (81%) | Rendimento esportivo - avaliação (81%);8;88
Arquitetura segura;Arquitetura (100%) | Arquitetura segura (100%) | Arquitetura 5G (88%) | Arquitetura urbana (83%) | Arquitetura autoral (81%) | Arquitetura em FPGA (81%) | Arquitetura moderna (81%) | Arquitetura penal (80%);8;170
Transporte atmosférico de umidade;Transporte (100%) | Transporte atmosférico de umidade (100%) | Umidade (100%) | Voo atmosférico (85%) | Meio de transporte (84%) | Transporte de água (84%) | Transporte de carga (81%) | Transporte de gases (81%);8;50
Repetição comportamental;Psicologia comportamental - variação e repetição (100%) | Repetição (100%) | Repetição comportamental (100%) | Variação comportamental (85%) | Comportamento ético (84%) | Terapia comportamental (83%) | Comportamentos éticos (80%) | Intervenção comportamental (80%);8;12
Autorregulação;Autorregulação (100%) | Autorregulação da aprendizagem (100%) | Modelo de autorregulação (100%) | Imunorregulação (83%) | Termorregulação (83%) | Autorrelato (80%) | Heterorregulação (80%) | Mercado autorregulado (80%);8;20
Repositórios de informação;Informação (100%) | Repositórios de informação (100%) | Ações de informação (81%) | Áreas de informação (81%) | Fluxo de informação (81%) | Fonte de informação (81%) | Redes de informação (81%) | Repositórios - federação (80%);8;87
Infraestrutura escolar;Infraestrutura (100%) | Infraestrutura escolar (100%) | Infraestrutura ecológica (87%) | Infraestrutura física (84%) | Infraestrutura verde (82%) | Infraestrutura (Economia) (81%) | Infraestrutura urbana (80%) | Obras de infraestrutura (80%);8;60
Autoridade Nacional de Proteção de Dados (Brasil);Autoridade (100%) | Autoridade Nacional de Proteção de Dados (Brasil) (100%) | Dados (100%) | Proteção (100%) | Proteção de dados (100%) | Proteção dos dados (88%) | Museu Nacional (Brasil) (85%) | Rádio Nacional (Brasil) (85%);8;45
Representação artística;Representação (100%) | Representação artística (100%) | Representações artísticas (92%) | Representação política (84%) | Representação paramétrica (83%) | Interpretação artística (83%) | Representação musical (82%) | Representação descritiva (81%);8;63
Capital (Economia);Capital (100%) | Capital (Economia) (100%) | Capital (Economia) - aspectos sociais - Distrito Federal (Brasil) (100%) | Capital (Economia) - juros (100%) | Capital (Economia) - rendimento - administração de pessoal (100%) | Gestão - Capital (Economia) (100%) | Poder Judiciário - investimentos - capital (Economia) (100%) | Capital econômico (86%);8;28
Infraestrutura de medição avançada;Infraestrutura (100%) | Infraestrutura de medição avançada (100%) | Medição (100%) | Obras de infraestrutura (85%) | Infraestrutura verde (82%) | Infraestrutura de estoque (81%) | Infraestrutura física (80%) | Infraestrutura urbana (80%);8;46
Animação por computador;Animação por computador (100%) | Modelação por computador (85%) | Arte por computador (85%) | Visão por computador (84%) | Alfabetização por computador (82%) | Crime por computador (82%) | Jogos por computador (82%) | Música por computador (82%);8;41
Engenharia biomédica;Engenharia (100%) | Engenharia biomédica (100%) | Engenharia biomédica - mamas - câncer (100%) | Engenharia médica (92%) | Engenharia química (84%) | Engenharia didática (82%) | Engenharia mecânica (82%) | Engenharia econômica (80%);8;77
Departamento Nacional de Infraestrutura de Transportes (DNIT);Departamento Nacional de Infraestrutura de Transportes (DNIT) (100%) | Infraestrutura (100%) | Transportes (100%) | Obras de infraestrutura (85%) | Infraestrutura verde (82%) | Infraestrutura de estoque (81%) | Infraestrutura física (80%) | Infraestrutura urbana (80%);8;75
Valor de mercado;Mercado (100%) | Valor (100%) | Valor de mercado (100%) | Geração de valor (88%) | Percepção de valor (82%) | Mercado de ações (81%) | Poder de mercado (81%) | Mercado de trabalho (80%);8;120
Compressão de dados;Compressão (100%) | Compressão de dados (100%) | Compressão de dados (Computação) (100%) | Compressão de dados (Telecomunicações) (100%) | Dados (100%) | Algoritmo de compressão gramatical (81%) | Compressão de imagem (81%) | compressão de redes neurais (81%);8;34
Água - purificação;Água (100%) | Água - purificação (100%) | Água - purificação - engenharia ambiental (100%) | Água - purificação - filtração (100%) | Purificação (100%) | Águas residuais - purificação (84%) | Biomoléculas - purificação (84%) | Engenharia sanitária - águas residuais - purificação (84%);8;97
Besouros - Brasil;Besouros - Brasil (100%) | Brasil (100%) | Juros - Brasil (84%) | Esportes - Brasil (82%) | Aborto - Brasil (81%) | Portos - Brasil (81%) | Bombeiros - Brasil (80%) | TV Brasil (80%);8;214
Metodologia das ciências sociais;Ciências (100%) | Ciências Sociais (100%) | Metodologia (100%) | Metodologia das ciências sociais (100%) | Metodologia BIM (85%) | Metodologia GDE (85%) | Metodologia ágil (81%) | Metodologia iRAP (81%);8;86
Compra;Bens imóveis - compra e venda (100%) | Comportamento de compra (100%) | Compra (100%) | Compra com Doação Simultânea (100%) | Compra e venda (100%) | Compra por impulso (100%) | Intenção de compra (100%) | Compras (92%);8;15
Avaliação da oralidade;Avaliação (100%) | Avaliação da oralidade (100%) | Oralidade (100%) | Avaliação da qualidade (91%) | Avaliação de qualidade (86%) | Avaliação de Viabilidade (83%) | Personalidade - avaliação (81%) | Usabilidade - avaliação (80%);8;122
Coração - fisiologia;Coração (100%) | Coração - fisiologia (100%) | Fisiologia (100%) | Cavalo - fisiologia (87%) | Morcegos - fisiologia (83%) | Psicologia - formação (83%) | Olhos - fisiologia (80%) | Ovino - fisiologia (80%);8;29
Odontologia - cirurgia;Cirurgia (100%) | Odontologia (100%) | Odontologia - cirurgia (100%) | Cirurgia otológica (85%) | Cão - cirurgia (83%) | Cirurgia oncológica (83%) | Oncologia cirúrgica (83%) | Face - cirurgia (80%);8;70
Depósito de minério de ouro de cobre de óxido de ferro;Cobre (100%) | Depósito de minério de ouro de cobre de óxido de ferro (100%) | Ferro (100%) | Minério de ferro (100%) | Ouro (100%) | Óxido de cobre (100%) | Óxido de ferro (100%) | Óxido de ouro (100%);8;78
Metodologia dos tubos corrugados;DoS (100%) | Metodologia (100%) | Metodologia dos tubos corrugados (100%) | Tubos (100%) | Metodologia BIM (85%) | Metodologia GDE (85%) | Metodologia ágil (81%) | Metodologia iRAP (81%);8;62
Coração - transplante;Coração (100%) | Coração - transplante (100%) | Coração - transplante - pacientes (100%) | Transplante de coração (95%) | Córnea - transplante (88%) | Córneas - transplante (86%) | Rins - transplante (84%) | Transplante cardíaco (83%);8;40
Institucionalidade;Institucionalidade (100%) | Lealdade institucional (85%) | Intencionalidade (82%) | Legitimidade institucional (82%) | Institucionalização (81%) | Poder institucional (81%) | Institucionalismo (80%) | Transicionalidade (80%);8;49
Transmissão de futebol;Futebol (100%) | Transmissão (100%) | Transmissão de futebol (100%) | Transmissão de luz (88%) | Perda de transmissão (82%) | Transmissão de dados (82%) | Linhas de transmissão (80%) | Perdas de transmissão (80%);8;70
Relatório da Administração (RA);Administração (100%) | Relatório da Administração (RA) (100%) | Relatórios da Administração (90%) | Teoria da administração (82%) | Administração local (81%) | Administração rural (81%) | Administração da justiça (80%) | Teoria Geral da Administração (80%);8;35
Produção florestal;Produção (100%) | Produção florestal (100%) | Projeção florestal (89%) | Florestas - reprodução (85%) | Produção oral (84%) | Produção legal (81%) | Produtos florestais (81%) | Medição florestal (80%);8;30
Areia;Areia (100%) | Areia asfalto (100%) | Areia britada (100%) | Areia natural (100%) | Casa de areia e névoa (100%) | Aroeira (83%) | Paresia (83%) | Ureia (80%);8;16
Avaliação de riscos ambientais;Avaliação (100%) | Avaliação de riscos (100%) | Avaliação de riscos ambientais (100%) | Riscos (100%) | Sistema de Avaliação de Impactos Ambientais de Inovações Tecnológicas (Ambitec) (87%) | Avaliação de riscos de saúde (86%) | Avaliação de curso (80%) | Avaliação de risco (80%);8;131
Milho - cultivo;Cultivo (100%) | Milho (100%) | Milho - cultivo (100%) | Mirtilo - cultivo (88%) | Melão - cultivo (87%) | Mamão - cultivo (80%) | Milho - plantio (80%) | Trigo - cultivo (80%);8;56
Redes ópticas de transmissão;Redes ópticas (100%) | Redes ópticas de transmissão (100%) | Transmissão (100%) | Transmissão de luz (88%) | Perda de transmissão (82%) | Transmissão de dados (82%) | Linhas de transmissão (80%) | Perdas de transmissão (80%);8;48
Prática em saúde;Conhecimentos - atitudes e prática em saúde (100%) | Conhecimentos, atitudes e prática em saúde (100%) | Prática (100%) | Prática em saúde (100%) | Saúde (100%) | Profissionais da saúde - prática profissional (90%) | Políticas em saúde (82%) | Política e saúde (81%);8;133
Comunicação na administração;Administração (100%) | Comunicação (100%) | Comunicação na administração (100%) | Comunicação na arte (85%) | Comunicação D2D (85%) | Comunicação oral (81%) | Administração local (81%) | Administração rural (81%);8;146
Memória - linguagem - idosos;Idosos (100%) | Linguagem (100%) | Memória (100%) | Memória - linguagem - idosos (100%) | Memória de idosos (90%) | Linguagem R (90%) | Linguagem e línguas - estudo e ensino - idosos (82%) | Linguagem SQL (82%);8;450
Antenas;Antenas (100%) | Antenas (Eletrônica) (100%) | Antenas de baixa frequência (100%) | Antenas magnéticas (100%) | Arranjo de antenas (100%) | Comunicação por antenas (100%) | Sistemas de antenas fluidas (100%) | Xantonas (80%);8;39
Redes de sistemas distribuídos;Redes de sistemas distribuídos (100%) | Sistemas distribuídos (100%) | Redes e sistemas distribuídos (98%) | Sistemas de arquivos distribuídos (89%) | Sistemas operacionais distribuídos (Computadores) (82%) | Sistemas de distribuição de medicamentos (81%) | Sistemas BIM (80%) | Sistemas BRT (80%);8;21
Avaliação nutricional;Avaliação (100%) | Avaliação nutricional (100%) | Avaliação institucional (86%) | Limitação nutricional (86%) | Nutrição - avaliação (83%) | Avaliação educacional (81%) | Aviação internacional (81%) | Caracterização nutricional (81%);8;198
Constitucionalismo brasileiro;Constitucionalismo (100%) | Constitucionalismo brasileiro (100%) | Constitucionalismo Negro (86%) | Constitucionalismo abusivo (84%) | Constitucionalismo periférico (83%) | Constituição brasileira (81%) | Transconstitucionalismo (81%) | Padrão institucional brasileiro (80%);8;57
Comunicação na medicina;Comunicação (100%) | Comunicação na medicina (100%) | Medicina (100%) | Comunicação na arte (85%) | Comunicação D2D (85%) | Comunicação na ciência (84%) | Comunicação na educação (83%) | Comunicação oral (81%);8;170
Jornalistas;Análise de conteúdo (Comunicação) - Estado - jornalistas (100%) | Federação Nacional dos Jornalistas (100%) | Jornalistas (100%) | Jornalistas - formação (100%) | Jornalistas - Mato Grosso do Sul (MS) (100%) | Jornalistas - orientação profissional (100%) | Jornalistas - prêmios (100%) | Jornalistas - servidores públicos - stress organizacional (100%);8;25
Elementos de contorno dual;Elementos de contorno dual (100%) | Método dos elementos de contorno dual (100%) | Método de elementos de contorno virtual (89%) | Método dos Elementos de Contorno (89%) | Métodos de elementos de contorno (89%) | Métodos dos elementos de contorno (89%) | Elementos de viga (83%) | Elementos de casca (80%);8;59
Jovens - pesquisadores;Jovens (100%) | Jovens - pesquisadores (100%) | Pesquisadores (100%) | Pesquisadores - jornalismo (83%) | Pesquisadores - negros (82%) | Pesquisadores - Brasil (81%) | Pesquisadores - engenharia - computação - 1996-2006 (81%) | Pesquisadores - mulheres (81%);8;54
Judicialização da política;Judicialização (100%) | Judicialização da política (100%) | Judicialização da política pública (100%) | Política (100%) | Judicialização da saúde (85%) | Mediatização da política (84%) | Socialização política (81%) | Política judiciária (80%);8;135
nidade de Terapia Intensiva;nidade de Terapia Intensiva (100%) | Terapia (100%) | Terapia intensiva (100%) | Unidade de terapia intensiva (98%) | Unidade de terapia intensiva neonatal (85%) | Unidade de terapia intensiva pediátrica (85%) | Unidades de Terapia Intensiva Neonatal (85%) | Unidades de Terapia Intensiva Pediátrica (85%);8;41
Norma Internacional de Relatórios Financeiros (IFRS);Norma Internacional de Relatórios Financeiros (IFRS) (100%) | Relatórios (100%) | Relatórios financeiros (100%) | Ato internacional (87%) | Relatórios financeiros - fraude (83%) | Ajuda internacional (81%) | Mídia internacional (81%) | Moeda internacional (81%);8;11
Eletricidade - Brasil;Brasil (100%) | Eletricidade (100%) | Eletricidade - Brasil (100%) | Etnicidade - Brasil (90%) | Eletricidade - história (80%) | Serviços de eletricidade - leilões (80%) | Serviços de eletricidade - tarifas (80%) | TV Brasil (80%);8;214
Notícia - produção;Notícia - produção (100%) | Produção (100%) | Lã - produção (87%) | Lichia - produção (86%) | Café - produção (80%) | Gado - produção (80%) | Ovos - produção (80%) | Soja - produção (80%);8;26
Dietas alimentares - avaliação;Avaliação (100%) | Dietas (100%) | Dietas - avaliação (100%) | Dietas alimentares (100%) | Dietas alimentares - avaliação (100%) | Caju - avaliação (81%) | Dano - avaliação (81%) | Sais alimentares (81%);8;111
Comunicação subterrânea;Comunicação (100%) | Comunicação subterrânea (100%) | Comunicações subterrâneas (92%) | Comunicação D2D (85%) | Mineração subterrânea (82%) | Comunicação oral (81%) | Comunicação interna (81%) | Construção subterrânea (80%);8;140
Mineralização - controle estrutural;Controle (100%) | Controle estrutural (100%) | Mineralização (100%) | Mineralização - controle estrutural (100%) | Controle PD (84%) | Arte estrutural (80%) | Controle LMS (80%) | Zika - controle (80%);8;49
Comunicação subaquática;Comunicação (100%) | Comunicação subaquática (100%) | Tecnologia de comunicação sem fio subaquática (100%) | Comunicação D2D (85%) | Comunicação oral (81%) | Comunicação háptica (81%) | Comunicação pública (81%) | Comunicação química (81%);8;152
Mercado de Carbono;Carbono (100%) | Mercado (100%) | Mercado de Carbono (100%) | Mercado voluntário de carbono (100%) | Mercado de câmbio (86%) | Remoção de carbono (83%) | Compensação  de carbono (80%) | Pegada de carbono (80%);8;62
Arquitetura digital;Arquitetura (100%) | Arquitetura digital (100%) | Biblioteca digital - arquitetura (100%) | Arquitetura 5G (88%) | Arquitetura militar (84%) | Arquitetura indígena (82%) | Literatura digital (81%) | Arquitetura religiosa (80%);8;118
Avaliação dietética;Avaliação (100%) | Avaliação dietética (100%) | Dietética (100%) | Avaliação estática (86%) | Métricas de avaliação (85%) | Avaliação dinâmica (81%) | Dietas - avaliação (81%) | Avaliação isocinética (80%);8;84
Câmara dos Deputados - Brasil - bancada rural;Brasil (100%) | Câmara dos Deputados (100%) | Câmara dos Deputados - Brasil (100%) | Câmara dos Deputados - Brasil - bancada rural (100%) | DoS (100%) | Deputados federais - Brasil (80%) | TV Brasil (80%) | TV Câmara (80%);8;254
Calibração;Calibração (100%) | Calibração - câmara (100%) | Calibração - sistema de varredura (100%) | calibração e verificação de modelos (100%) | Calibração multivariada (100%) | Calibração NorSand (100%) | Robôs - calibração (100%) | Rotina de calibração (100%);8;36
Joel Nascimento;Joel Nascimento (100%) | Nascimento (100%) | Renascimento (81%) | Nascimento (Aspectos psicológicos) (80%) | Nascimento - Cuiabá (MT) (80%) | Nascimento - estatística (80%) | Ordem de nascimento (80%) | Peso corporal - nascimento (80%);8;20
Tecnologia militar;Militar (100%) | Tecnologia (100%) | Tecnologia militar (100%) | Tecnologias militares (92%) | Tecnologia BIM (83%) | Tecnologia digital (83%) | Tecnologia digitais (81%) | Tecnologia médica (80%);8;105
Avaliação de riscos ecológicos;Avaliação (100%) | Avaliação de riscos (100%) | Avaliação de riscos ecológicos (100%) | Riscos (100%) | Geologia - avaliação de riscos (87%) | Avaliação de riscos de saúde (86%) | Avaliação de curso (80%) | Avaliação de risco (80%);8;130
Lactentes;Capacidade motora nos lactentes (100%) | Capacidade motora nos lactentes - prematuros (100%) | Lactentes (100%) | Lactentes - Brasil (100%) | Lactentes - desmame (100%) | Lactentes - nutrição (100%) | Pais e lactentes (100%) | Patentes (82%);8;38
Reforma do sistema de contabilidade;Contabilidade (100%) | Reforma (100%) | Reforma do sistema de contabilidade (100%) | Sistema (100%) | Contabilidade de custo (84%) | Contabilidade de custos (82%) | Sistema de TD&E (80%) | Sistemas de contabilidade (80%);8;85
