Termo Sugerido (Mais Comum);Variações Detectadas (Duplicatas);Qtd Variações;Frequência Total
Índios - Brasil - México;Diálogos - Brasil - México [Score: 88];1;2
Neuropatologia;Europatologia [Score: 96];1;2
Índios da América do Sul - Brasil - sustentabilidade;Indígenas da América do Sul - Brasil - sustentabilidade [Score: 92];1;2
Técnicas de diagnóstico oftalmológico;Técnica de diagnóstico oftamológico [Score: 97];1;2
Nudges;Nudge [Score: 91];1;2
Metástases;Metástase [Score: 95];1;4
Otimização de parâmetros;Otimização de hiperparâmetros [Score: 91];1;3
Configuração territorial;Reconfiguração territorial [Score: 96];1;3
Alucinogenos;Alucinógenos [Score: 92];1;3
Conectividade;Coletividade [Score: 88];1;3
Detecção de fraudes;Detecção de Fraude [Score: 97];1;3
Congadas - Minas Gerais (MG);Congado - Minas Gerais (MG) [Score: 95];1;4
Acompanhamento terapêutico;Acompanhamento farmacoterapêutico [Score: 88];1;3
Serviço social com a família;Serviço social - família [Score: 88];1;3
Conhecimento ecológico;Conhecimento tecnológico [Score: 96];1;3
Método de Hirosawa;Método Hirosawa [Score: 91];1;3
Equivalência;Bioequivalência [Score: 89];1;3
Resistência a drogas;Resistência à drogas [Score: 95];1;3
Neoconcretismo;Concretismo [Score: 88];1;3
Era Paleoproterozóica;Era Neoproterozóica [Score: 90];1;4
Uruguai - política e governo;Paraguai - política e governo [Score: 91];1;2
Neuroblastos;Neuroblastoma [Score: 88];1;2
Nuvens de pontos 3D;Nuvens de ponto [Score: 88];1;2
Índios da América do Sul - Brasil - relações humanas;Índios da América do Sul - Brasil - relações culturais [Score: 91];1;2
Terra indígena - demarcação de terras;Terras indígenas - demarcação de terras [Score: 97];1;6
Espectro;Espectros [Score: 94];1;3
Necessidade humana;Necessidades humanas [Score: 95];1;2
Sistemas silvipastoris;Sistema silvipastoris [Score: 98];1;3
Ressuscitação cardiopulmonar;Ressucitação cardio-pulmoner [Score: 93];1;3
Enfermeiras e pacientes;Enfermeiros e paciente [Score: 93];1;3
Neurotoxinas;Enterotoxinas [Score: 88];1;4
Orientadores educacionais;Coordenadores educacionais [Score: 90];1;3
Agentes ototóxicos;Agentes citotóxicos [Score: 92];1;3
Saúde - higiene;Saúde e higiene [Score: 93];1;3
Déficit previdenciário;Déficit prevídenciário [Score: 95];1;3
Crianças - arte;Crianças - morte [Score: 90];1;4
Sistemas tutoriais inteligentes;Sistema tutor inteligente [Score: 89];1;3
Crostas lateríticas;Crosta laterítica [Score: 94];1;3
Distúrbios do sono - tratamento;Distúrbios do pânico - tratamento [Score: 91];1;3
Croquis;Croqui [Score: 92];1;4
Crianças - doenças - tratamento;Coração - doenças - tratamento [Score: 89];1;4
Morcego - parasito;Morcegos - parasitas [Score: 89];1;4
Saúde - análise de valor (Controle de custo);Análise de valor (controle de custo) [Score: 90];1;3
Áudio - adulteração;Áudio -  adulteração [Score: 97];1;3
Distrito Federal (Brasil) - flora;Distrito Federal (Brasil) - cultura [Score: 91];1;3
Mudança tecnológica;Mudanças tecnológicas [Score: 95];1;3
Adolescentes - saúde - Distrito Federal (Brasil);Adolescentes - Distrito Federal (Brasil) [Score: 91];1;4
Monocotiledônea;Monocotiledôneas [Score: 97];1;3
Mineração de processos;Inovação de processos [Score: 88];1;3
Dilatação fluxo-mediada;Dilatação fluxomediada [Score: 98];1;3
Sistema Nacional de Informações em Saneamento (SNIS);Sistema Nacional de Informações sobre Saneamento [Score: 88];1;3
Sensação de insegurança;Sensação de segurança [Score: 95];1;3
Índios da América do Sul - Bolívia;Índios da América do Sul - línguas [Score: 88];1;4
Diferenças-em-diferenças;Diferenças em diferenças [Score: 92];1;3
Índios da America do Sul - Brasil - Amazônia;Indígenas da America do Sul - Brasil - Amazônia [Score: 90];1;3
Índios da América do Sul - Brasil - Acre (AC);Índios da América do Sul - Brasil - cultura [Score: 89];1;3
Método analítico;Método psicanalítico [Score: 89];1;3
Conhecimentos - atitudes e prática em saúde;Conhecimentos, atitudes e prática em saúde [Score: 96];1;3
Microrganismos patogênicos;Microorganismos fitopatogênicos [Score: 91];1;3
Allium cepa;Allium cepa L. [Score: 88];1;3
Migração - Peru;Mineração - Peru [Score: 90];1;3
Diarréia em crianças;Diarréia - crianças [Score: 92];1;3
Ensaios dinâmicos;Ensaio dinâmico [Score: 94];1;3
Sistema Informatizado de Gestão Arquivística de Documentos (SIGAD);Sistema Informatizado de gestão arquivística de documentos [Score: 94];1;3
Semicontinuidade superior;Semicontinuidade inferior [Score: 88];1;3
Acústica não linear;Acústica linear [Score: 88];1;3
Consumo de alimentos;Consumo de cimento [Score: 89];1;3
Organização Pan-Americana da Saúde (OPAS);Organização Pan-Americana da Saúde [Score: 91];1;3
Sistema portuário;Sistema aeroportuário [Score: 89];1;3
Origamis;Origami [Score: 93];1;4
Alimentos - aspectos sociais;Atletas - aspectos sociais [Score: 89];1;3
Ecodesign;Geodesign [Score: 89];1;3
Crianças - linguagem;Finanças - linguagem [Score: 90];1;3
Delegacias de Ordem Política e Social (DOPS);Delegacias de Ordem Política e Social [Score: 91];1;3
Corpo negro;Corpos negros [Score: 92];1;3
Conversão;Conversação [Score: 90];1;3
Oncologia - tratamento;Imunologia - tratamento [Score: 89];1;3
Distribuição de espécies;Distribuição das espécies [Score: 94];1;3
Sistemas em chip;Sistema em chip [Score: 97];1;3
Agricultura familiar - Distrito Federal (Brasil);Agricultura familiar - Distrito Federal [Score: 90];1;3
Ecótonos;Ecótono [Score: 93];1;3
Economia de Escala;Economias de escala [Score: 97];1;3
Sistemas estruturais;Sistema estrutural [Score: 89];1;3
Modelos estocásticos;Modelos elastoplásticos [Score: 88];1;3
Cultura - história;cultura histórica [Score: 91];1;3
Núcleos de Inovação Tecnológica (NITs);Núcleo de Inovação Tecnológica (UnB) [Score: 92];1;4
Área Metropolitana de Brasília (AMB);Área metropolitana de Brasília [Score: 91];1;3
Scholarly information;Scholarly information flow [Score: 89];1;3
Amputações;Mutações [Score: 89];1;3
Sistema cardiovascular - doenças - tratamento;Sistema cardiopulmonar - doenças - tratamento [Score: 91];1;3
Síndrome SHORT;Síndrome SOFT [Score: 89];1;3
Síndrome de Raine;Síndrome de Frasier [Score: 89];1;3
Mentira;Mentiras [Score: 93];1;3
Comunicação popular;Comunicação populista [Score: 90];1;4
Sódio;Ódio [Score: 89];1;3
Cooperação institucional;Cooperação interinstitucional [Score: 91];1;3
Agrosilvicultura;Agrossilvicultura [Score: 97];1;3
Modelo estrutural;Método estrutural [Score: 88];1;3
Educação literária;Educação libertária [Score: 92];1;3
DNA livre de células (cfDNA);DNA fetal livre de células (cffDNA) [Score: 89];1;3
Advocacy coalition framework;Advocacy Coalition Framework (ACF) [Score: 90];1;3
Mortes - Brasil;Coortes - Brasil [Score: 90];1;3
Cristais moleculares;Orbitais moleculares [Score: 90];1;3
Doentes terminais;Doenças terminais [Score: 88];1;3
Aeromagnetometria;Eletromagnetometria [Score: 89];1;3
Doença hepática gordurosa não-alcoólica;Doença Hepática Gordurosa Não-Alcoolica (DHGNA) [Score: 88];1;3
Documentos audiovisuais;Documento audiovisual [Score: 91];1;3
Crianças deficientes;Crianças - deficientes [Score: 95];1;3
Obesidade - animais;Obesidade -  animais [Score: 97];1;3
Africanidades;Amefricanidade [Score: 89];1;3
Dióxido de estanho;Óxido de estanho [Score: 94];1;3
Dor em crianças - tratamento;Câncer em crianças - tratamento [Score: 88];1;3
Índice de sustentabilidade;Índices de rentabilidade [Score: 88];1;3
Seca;Secas [Score: 89];1;3
Educação - subjetividade;Educadores - subjetividade [Score: 88];1;3
Dispositivo de racialidade;Dispositivo da racialidade [Score: 96];1;3
Contêiner (Computação);Containers (computação) [Score: 93];1;3
Conventos - história - Recife (PE);Negros - história - Recife (PE) [Score: 89];1;3
Plantação - Brasil;Plantas - Brasil [Score: 88];1;2
Plano de gerenciamento de resíduos sólidos;Gerenciamento de resíduos sólidos [Score: 88];1;2
Tensor de difusão;Ensaio de difusão [Score: 88];1;2
Transformadas lineares;Transformações lineares [Score: 89];1;2
Sistemas nominais;Sistemas minerais [Score: 88];1;2
Sade, marquês de, 1740-1814 - crítica e interpretação;Sade, marquês de, 1740-1814  - crítica e interpretação [Score: 99];1;2
Salinização;Dessalinização [Score: 88];1;2
Sabotagem;Cabotagem [Score: 89];1;2
Sociedade Brasil-Coreia;Sociedade brasileira [Score: 88];1;2
Sociedade de consumo - aspectos psicológicos;Sociedade de consumo - aspectos políticos [Score: 92];1;2
Processo Administrativos Disciplinares (PAD);Processo administrativo disciplinar [Score: 89];1;2
Transporte aéreo -  vulnerabilidade;Transporte aéreo - vulnerabilidade [Score: 99];1;2
Transformação institucional;Informação institucional [Score: 90];1;2
Transglutaminase;Antitransglutaminase [Score: 89];1;2
Programa de Educação Tutorial (PET);Programa de Educação Tutorial [Score: 91];1;2
Princípios variacionais;Princípio variacional [Score: 91];1;2
Transportes públicos - uso - variáveis psicossociais;Transportes - uso - variáveis psicossociais [Score: 91];1;2
Transscriptase reversa;transcriptase reversa [Score: 98];1;2
Transportes - aspectos sociais;Esportes - aspectos sociais [Score: 91];1;2
Transportes - logística;Transportes -  logística [Score: 98];1;2
Transtornos de deglutição;Transtornos da deglutição [Score: 96];1;2
Problemas de autovalores;Problemas de autovalor [Score: 96];1;2
Procedimento de completação;Procedimento  de completação [Score: 98];1;2
Transporte rodoviário de carga - substâncias perigosas;Transporte rodoviário - substâncias perigosas [Score: 91];1;2
Savanas - América do Sul;Aves - América do Sul [Score: 89];1;2
Rochas vulcanossedimentares;Rochas metavulcanossedimentares [Score: 93];1;2
Rochas vulcânicas;Rochas metavulcânicas [Score: 89];1;2
Solos não ornitogênicos;Solos ornitogênicos [Score: 90];1;2
Sedimentos clásticos;Sedimentos bioclásticos [Score: 93];1;2
Sistema socioecológico;Sistema sócio-ecológico. [Score: 91];1;2
Sistemas de transporte público;Sistema de Transporte Público [Score: 98];1;2
Sclerolobium paniculatum;Slerolobium paniculatum [Score: 98];1;2
Secretaria do Tesouro Nacional;Brasil. Secretaria do Tesouro Nacional [Score: 88];1;2
Sintagma locativo;Sintagmas locativos [Score: 94];1;2
Sintagma posposicional;Sintagma preposicional [Score: 91];1;2
Simpatria;Simpatia [Score: 94];1;2
Similaridade de documentos;Maturidade de documentos [Score: 88];1;2
Simulação termoenergética;Simulações termoenergéticas [Score: 88];1;2
Sistema Cartão Nacional de Saúde (CNS);Cartão nacional de saúde (CNS) [Score: 88];1;2
Ruptura da seção líquida;Ruptura por seção líquida [Score: 90];1;2
Rousseau, Jean-Jacques, 1712-1778 - crítica e interpretação;Rousseau, Jean-Jacques, 1712-1778  - crítica e interpretação [Score: 99];1;2
Sociossexualidade;Psicossexualidade [Score: 88];1;2
RNA ribossomal;DNA ribossomal [Score: 93];1;2
Rios - história;Créditos - história [Score: 88];1;2
Rodinha de conversa;Roda de conversa [Score: 91];1;2
Solo - impacto;Solos - impacto [Score: 97];1;2
Solo hidromórficos;Solos hidromórficos [Score: 97];1;2
Trabalho noturno;Trabalho por turno [Score: 88];1;2
Trabalho prisional;Trabalho profissional [Score: 92];1;2
Sensores de gás;Sensor de gás [Score: 93];1;2
Quimiocinas;Quimiocina [Score: 95];1;2
Poteassoma;Proteassoma [Score: 95];1;2
Treinamento isocinético;Treinamento isométrico [Score: 89];1;2
Quebra da simetria;Quebra de simetria [Score: 94];1;2
Teoria de Morse;Teoria de Orem [Score: 90];1;2
Teoria do ator-rede;Teoria Ator-rede [Score: 91];1;2
Teoria do Enfoque Meta-Analítico Consolidado (TEMAC);Teoria do Enfoque Meta Analítico Consolidado (TEMAC) [Score: 98];1;2
Qualidade educacional;Equidade educacional [Score: 93];1;2
Quimioterapia neoadjuvante;Quimiorradioterapia neoadjuvante [Score: 90];1;2
Teoria da modernização;Teoria da organização [Score: 88];1;2
Teoria das estruturas - método dos elementos finitos;Teoria das estruturas - método dos elementos finitos - pontes [Score: 92];1;2
Tradição oral - Distrito Federal (Brasil);Interação social - Distrito Federal (Brasil) [Score: 89];1;2
Teoria das estruturas - métodos matriciais;Teoria das estruturas - métodos matriciais - pontes [Score: 90];1;2
Pupa;Pulpa [Score: 89];1;2
Teoria radical;Teoria racial [Score: 89];1;2
Teoria social crítica;Teoria Racial Crítica [Score: 90];1;2
Terapia cognitivo-comportamental;Terapia Cognitivo Comportamental [Score: 97];1;2
Pólipos endometriais;Pólipo endometrial [Score: 89];1;2
Teoria Geral da Administração;Teoria da administração [Score: 88];1;2
Readmissão hospitalar;Admissão hospitalar [Score: 95];1;2
Razão Velocidade da onda S;Razão Velocidade da onda P [Score: 96];1;2
Tributilestanho;Dibutilestanho [Score: 90];1;2
Prestação de informações;Extração de informações [Score: 89];1;2
Previsão do preço;Previsão de preço [Score: 94];1;2
Pretuguês;Português [Score: 89];1;2
Profanação;Pronação [Score: 89];1;2
Produção oral;Produção autoral [Score: 90];1;2
Transferências partidárias;Preferências partidárias [Score: 88];1;2
Transcriptômica;Transcritômica [Score: 97];1;2
Políticas públicas de ciência e tecnologia;Políticas de Ciência e Tecnologia [Score: 88];1;2
Ponte estaiada;Pontes estaiadas [Score: 93];1;2
Pombos;Pombo [Score: 91];1;2
Políticas públicas - Brasil - China;Políticas públicas - Brasil - Canadá [Score: 93];1;2
Políticas de enfermagem;Práticas de Enfermagem [Score: 89];1;2
Políticas indígenas;Política indígena [Score: 94];1;2
Política externa - Paraguai;Política externa - Uruguai [Score: 91];1;2
Política internacional - Argentina;Política habitacional - Argentina [Score: 90];1;2
Turbina de eixo horizontal;Turbinas de eixo horizontal [Score: 98];1;2
Políticas arquivísticas;Práticas arquivísticas [Score: 89];1;2
Política Nacional de Atenção às Urgências (PNAU) - legislação;Política Nacional de Atenção às Urgências (PNAU) [Score: 88];1;2
Política Nacional de Atenção Integral à Saúde da Mulher (PNAISM);Política Nacional de Atenção Integral à Saúde da Criança (PNAISC) [Score: 90];1;2
Política Nacional de Assistência Técnica e Extensão Rural (PNATER);Política Nacional de Assistência Técnica e Extensão Rural (FNATER) [Score: 98];1;2
"Política Nacional de Museus;";Política Nacional de Museus [Score: 98];1;2
Predição de recursos;Previsão de recursos [Score: 90];1;2
Sistema interativo;Sistemas interativos [Score: 95];1;2
Sistema financeiro internacional;Sistema Financeiro Nacional [Score: 92];1;2
Universidade de Brasília. Decanato de Extensão - guias;Universidade de Brasília. Decanato de Extensão [Score: 92];1;2
Pesquisas com crianças;Pesquisa com crianças [Score: 98];1;2
Padrões de software - computadores - medida de segurança;Software - computadores - medidas de segurança [Score: 88];1;2
Padrões de atividades;Padrões de atividade [Score: 98];1;2
Padrões de comunicação científica;Processo de comunicação científica [Score: 90];1;2
Padarias;Pradarias [Score: 94];1;2
Variantes;variants [Score: 94];1;2
Pessoas com necessidades educacionais específicas;Estudantes com necessidades educacionais específicas [Score: 91];1;2
Pessoas com deficiência - avaliação;Pessoas com deficiência - legislação [Score: 90];1;2
Oigoelementos;Oligoelementos [Score: 96];1;2
Pesquisa educacional - Alemanha;Pesquisa educacional  - Alemanha [Score: 98];1;2
Oecophoridae;Oecophorinae [Score: 92];1;2
África Subsaariana;África Sub-Saara [Score: 88];1;2
Pintura renascentista - Itália - Séc. XV;Pintura renascentista - Itália - Séc. XIV [Score: 99];1;2
Égua;Régua [Score: 89];1;2
Ética evolucionista;Ética evolucionária [Score: 89];1;2
Valor extremo;Valores extremos [Score: 90];1;2
Obesidade em adolescentes;Obesidade - adolescentes [Score: 94];1;2
Áudio digital;Rádio digital [Score: 92];1;2
Piano - aprendizagem;Canto - aprendizagem [Score: 90];1;2
Organizations;organization [Score: 96];1;2
Perda de transmissão;Perdas de transmissão [Score: 98];1;2
Webdesign;Web design [Score: 95];1;2
Virologia;Visologia [Score: 89];1;2
P-grupos;p -grupos [Score: 94];1;2
Viscoelasticidade linear;Elasticidade linear [Score: 88];1;2
Urbanismo - Século XX;Urbanismo - séc. XX [Score: 90];1;2
Urbanismo - Goiás (Estado) - Século XVIII;Urbanismo - Goiás (Estado) - Século XIX [Score: 95];1;2
Neoplasia intra-epitelial cervical;Neoplasia intra-epitelial cervical (NIC) [Score: 92];1;2
Neoplasias cutâneas;Neoplasia cutânea [Score: 94];1;2
PDL-1;PD-1 [Score: 89];1;2
Vila-Matas, Enrique , 1948 - crítica e interpretação;Vila-Matas, Enrique, 1948- crítica e interpretação [Score: 98];1;2
Outsider;Outsiders [Score: 94];1;2
Ácido 5-aminolevulínico;Ácido aminolevulínico [Score: 95];1;2
Pensamento sistémico;Pensamento sistêmico [Score: 95];1;2
Ácido fosfotungstico;Ácido fosfotúngstico [Score: 95];1;2
Pensamento populacional;Pensamento computacional [Score: 89];1;2
Pensamento político brasileiro;Pensamento político - Brasil [Score: 90];1;2
Osteoclastos;Osteoblastos [Score: 92];1;2
Ossos do tarso;Ossos do torso [Score: 93];1;2
Peixe como alimento;Leite como alimento [Score: 89];1;2
Vida social;Dívida social [Score: 92];1;2
Paisagens - Distrito Federal (Brasil);Habitações - Distrito Federal (Brasil) [Score: 88];1;2
Paratextos;Paratexto [Score: 95];1;2
Vírus oncogênicos;Vírus oncogênico [Score: 97];1;2
Perfilho;Perfilhos [Score: 94];1;2
Ácido polilático;Ácido poliláctico [Score: 97];1;2
Sistema estadual de ensino;Sistemas estaduais de ensino [Score: 93];1;2
Sólitons conformes;Solitons conformes [Score: 94];1;2
Redes metropolitanas de computação;Rede metropolitana (Computação) [Score: 89];1;2
Reequilíbrio econômico-financeiro;Equilíbrio econômico-financeiro [Score: 97];1;2
Referência sociocultural;Referência cultural [Score: 88];1;2
Tecnopolítica;Etnopolítica [Score: 88];1;2
Tecnologia moderna;Biotecnologia moderna [Score: 92];1;2
Recorrências;Recorrência [Score: 96];1;2
Tecnologia comportamental;Toxicologia comportamental [Score: 90];1;2
Síntese Modal de Componentes (SMC);Síntese modal de componentes [Score: 90];1;2
Síntese de ácidos graxos;Biosíntese de ácidos graxos [Score: 94];1;2
Tabagismo -  tratamento;Tabagismo - tratamento [Score: 98];1;2
Peptídeos terapêuticos;Peptideos terapêuticos [Score: 95];1;2
Sólidos - compressibilidade;Fluidos - compressibilidade [Score: 93];1;2
Síndrome de Guillain-Barré - diagnóstico;Síndrome de Guillain-Barré - prognóstico [Score: 92];1;2
Síndrome da alienação parental;Síndrome de alienação parental [Score: 97];1;2
Síndrome hepato-pulmonar;Síndrome hepatopulmonar [Score: 98];1;2
Talento esportivo;Talentos esportivos [Score: 94];1;2
Sementes - restauração;Dentes - restauração [Score: 90];1;2
Sistema hídrico urbano;Sistemas hídricos urbanos [Score: 94];1;2
Separação magnética;Saturação magnética [Score: 89];1;2
Sistema flexível;Sistemas flexíveis [Score: 88];1;2
Resíduo de marmoraria;Resíduo de marmoaria [Score: 98];1;2
Responsabilidade civil objetiva;Responsabilidade civil subjetiva [Score: 95];1;2
Spectral correlation mapper;Spectral Correlation Mapper (SCM) [Score: 90];1;2
Sonoridade;Sonoridades [Score: 95];1;2
Percepção profissional;Preparação profissional [Score: 89];1;2
Álcool - produção;Bioálcool - produção [Score: 92];1;2
Veados;Veado [Score: 91];1;2
Ondas;Sondas [Score: 91];1;2
Opioides;Opioide [Score: 93];1;2
Personalidade de marcas;Personalidade de marca [Score: 98];1;2
Suplementos;Suplemento [Score: 95];1;2
Reprodução capitalista;Revolução capitalista [Score: 88];1;2
Reprodução vegetal;Produção vegetal [Score: 94];1;2
Resistência medicamentosa;Resistência a medicamentos [Score: 94];1;2
Superfícies anti-isocurvadas;Superfícies isocurvadas [Score: 90];1;2
Resiliência socioecológica;Resiliência psicológica [Score: 90];1;2
Resistência a vancomicina;Resistência à vancomicina [Score: 96];1;2
São Paulo (Estado) - história;São Paulo (SP) - história [Score: 89];1;2
Renovação de frota;Renovação da frota [Score: 94];1;2
Remineralização dentária;Desmineralização dentária [Score: 94];1;2
Reparo tecidual;Reparação tecidual [Score: 91];1;2
Replicação Máquina de Estados (RME);Replicação máquina de estados [Score: 91];1;2
Reuso computacional;Redução computacional [Score: 90];1;2
Oncologia infantil;Odontologia infantil [Score: 89];1;5
Cerrados;Cerrado [Score: 93];1;670
Psicologia - história;Sociologia - história [Score: 90];1;6
Língua estrangeira;Línguas estrangeiras [Score: 95];1;21
Investimentos públicos;Investimento público [Score: 95];1;18
Polícia;Polícias [Score: 93];1;18
Infraestrutura;Infraestruturas [Score: 97];1;18
Comportamento alimentar;Comportamento Parlamentar [Score: 92];1;19
Música - história e crítica;Poesia - história e crítica [Score: 89];1;18
Infraestrutura (Economia);Infra-estrutura (Economia) [Score: 98];1;18
Relações Interpessoais;Relações interperssoais [Score: 98];1;17
Teoria da comunicação;Teorias da comunicação [Score: 98];1;22
Genotipagem;Fenotipagem [Score: 91];1;19
Triatomíneos;Triatomineos [Score: 92];1;17
Fluxo de caixa;Fluxo de caixas [Score: 97];1;17
Oftalmologia;Oftalmoplegia [Score: 88];1;17
Fungicidas;fungicides [Score: 90];1;17
Rorschach, Teste de;Eu-Rorschach, Teste de [Score: 93];1;17
Psiquiatria;Psiquiatras [Score: 91];1;17
Turismo - aspectos sociais;Turismo rural - aspectos sociais [Score: 90];1;17
Política habitacional - Brasil;Política internacional - Brasil [Score: 89];1;19
Comunidade;Comunidades [Score: 95];1;17
Idosos - doenças;Ossos - doenças [Score: 90];1;30
Cerrados - flora;Cerrados - florestas [Score: 89];1;20
Etanol;Metanol [Score: 92];1;22
Adultos;Adutos [Score: 92];1;21
Patrimônio cultural - proteção;Patrimônio cultural - preservação [Score: 89];1;18
Sistema de cotas;Sistemas de cotas [Score: 97];1;18
Cráton Amazônico;Craton amazônico [Score: 94];1;21
Regulamentação;Desregulamentação [Score: 90];1;19
Micologia;Musicologia [Score: 90];1;30
Municípios - Brasil;Municípios (Brasil) [Score: 89];1;20
Feminilidade;Feminilidades [Score: 96];1;18
Teatro - educação;Teatro na educação [Score: 91];1;18
Crise;Crises [Score: 91];1;18
Carotenóides;Carotenoides [Score: 92];1;19
Distrito Federal (Brasil) - escolas públicas;Distrito Federal (Brasil) - saúde pública [Score: 89];1;20
Platão;Plato [Score: 91];1;18
Desempenho profissional;Desempenho prisional [Score: 93];1;18
Musgo;Musgos [Score: 91];1;21
Toxicidade - testes;Toxidade - testes [Score: 94];1;31
Rodovias;Rodovia [Score: 93];1;18
Diagnóstico por imagem;Diagnóstico por imagens [Score: 93];1;18
Idosos - saúde e higiene;Idosos -saúde e higiene [Score: 98];1;18
Biofilme;Biofilmes [Score: 94];1;20
Programa Nacional de Alimentação Escolar (Brasil);Programa Nacional de Alimentação Escolar (PNAE) [Score: 92];1;17
Necropolítica;Necrobiopolítica [Score: 90];1;17
Neoplasia;Neoplasias [Score: 95];1;22
Sistema musculoesquelético;Sintomas musculoesqueléticos [Score: 89];1;17
Quinoa;Quinona [Score: 92];1;17
Adaptação;Readaptação [Score: 90];1;16
Embriogênese somática;Embriogenêse somática [Score: 90];1;16
Implante coclear;Implantes cocleares [Score: 91];1;24
Comunicação social;Comunicação oral [Score: 88];1;21
Ética médica;Genética médica [Score: 89];1;20
Mosca-branca;Mosca branca [Score: 92];1;16
Ciência, tecnologia e sociedade (CTS);Educação Ciência, Tecnologia e Sociedade (CTS) [Score: 89];1;16
População LGBT;População LGBTI+ [Score: 93];1;16
Probióticos;Prebióticos [Score: 91];1;18
Solos - erosão;Solo - erosão [Score: 96];1;19
Telecomunicações - legislação;Telecomunicações - regulação [Score: 91];1;22
Índios da América do Sul - Brasil;Índios da América do Sul - Brasil - Bahia [Score: 89];1;16
Rejeitos de mineração;Rejeito de mineração [Score: 98];1;16
Aprendizagem ativa;Aprendizagem criativa [Score: 92];1;20
Espectroscopia de infravermelho;Espectroscopia de infravermelho próximo [Score: 89];1;17
Pais e filhos;Pai e filhas [Score: 88];1;16
Planejamento regional;Planejamento biorregional [Score: 91];1;16
Alimentos;Alimento [Score: 94];1;16
Cidades;Cidade [Score: 92];1;19
Livros;Livro [Score: 91];1;17
Distúrbio da falta de atenção com hiperatividade;Transtorno da Falta de Atenção com Hiperatividade [Score: 89];1;16
Enfermagem - prática;Enfermagem - ética [Score: 89];1;20
Diversidade biológica - Cerrados;Diversidade biológica - tratados [Score: 91];1;20
Racionalidade;Nacionalidade [Score: 92];1;21
Classificação;Massificação [Score: 88];1;17
Leishmania braziliensis;Leishmania (V.) braziliensis [Score: 90];1;17
Educação não-formal;Educação formal [Score: 88];1;17
Identidade sexual;Identidade visual [Score: 88];1;18
Nutricionistas;Nutricionista [Score: 96];1;17
Gestão territorial;Gestão editorial [Score: 88];1;17
Conceitos;Concertos [Score: 89];1;17
Índices de vegetação;Índice de vegetação [Score: 97];1;22
Ácido anacárdico;Ácido isoanacárdico [Score: 91];1;17
Biocompatibilidade;Incompatibilidade [Score: 91];1;17
Softwares educativos;Software educativo [Score: 95];1;17
Administração de risco;Administração de riscos [Score: 98];1;17
Aminoácidos;Aminoácido [Score: 95];1;17
Patentes;Patente [Score: 93];1;17
Avaliação de aprendizagem;Avaliação da aprendizagem [Score: 96];1;17
Mercado;Mercados [Score: 93];1;17
Contabilidade de custo;Contabilidade de custos [Score: 98];1;20
Tecnologia - aspectos sociais;Odontologia - aspectos sociais [Score: 88];1;20
Propriedades eletrônicas;Propriedades elétricas [Score: 91];1;12
Genes;Gene [Score: 89];1;20
Organização social;Organização espacial [Score: 89];1;25
Documento arquivístico;Documentos arquivísticos [Score: 96];1;22
Segurança;Insegurança [Score: 90];1;21
Punção;Punição [Score: 92];1;33
Legislação;Lesgislação [Score: 95];1;21
Área de preservação permanente (APP);Áreas de Preservação Permanente [Score: 90];1;21
Ecocardiografia;Ecorcadiografia [Score: 93];1;21
Equações;Inequações [Score: 89];1;21
Proteção de dados;Proteção dos dados [Score: 91];1;21
Identificação;Densificação [Score: 88];1;22
Diabetes mellitus tipo 2;Diabetes mellitus tipo 1 [Score: 96];1;21
Magnetometria;Magnetrometria [Score: 96];1;20
Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq);Fundo Nacional de Desenvolvimento Científico e Tecnológico (FNDCT) [Score: 88];1;22
Empresas públicas;Empresa pública [Score: 94];1;21
Geologia estrutural;Biologia estrutural [Score: 89];1;20
Transporte rodoviário de carga;Transporte rodoviário de carga - soja [Score: 90];1;20
Mudança institucional;Mudanças institucionais [Score: 91];1;22
Lepidóptero;Lepidópteros [Score: 96];1;20
Anemia Falciforme;Anemia facilforme [Score: 94];1;20
Mito;Mitos [Score: 89];1;22
Inovação em serviços;Inovação em serviço [Score: 97];1;21
Plano Nacional de Educação (Brasil);Plano Nacional de Educação II (Brasil) [Score: 96];1;21
Distúrbios da audição;Distúrbios da nutrição [Score: 88];1;21
Ética profissional;Prática profissional [Score: 89];1;39
Supremo Tribunal Federal;Supremo Tribunal Federal (STF) [Score: 89];1;27
Ação coletiva;Criação coletiva [Score: 90];1;22
Resíduos industriais;Resíduos agroindustriais [Score: 91];1;30
Bem-estar;Bem estar [Score: 89];1;22
Logística;Logísitica [Score: 95];1;21
Citologia;Mitologia [Score: 89];1;33
Socialização;Ressocialização [Score: 89];1;23
Conflito social;Confito social [Score: 97];1;21
Química inorgânica;Química orgânica [Score: 94];1;37
Mineralogia;Minerologia [Score: 91];1;23
Descentralização;Recentralização [Score: 90];1;21
Sistema imunológico;Sistema biológico [Score: 89];1;21
Análise espacial;Análises geoespacial [Score: 89];1;21
Inseticidas;Inseticida [Score: 95];1;22
Campo magnético;Campos magnéticos [Score: 94];1;22
Biografia;Biografias [Score: 95];1;22
Stress (Psicologia);Stress (Fisiologia) [Score: 89];1;34
Envelhecimento - aspectos fisiológicos;Envelhecimento - aspectos psicológicos [Score: 95];1;30
Eletroencefalografia;Eletroencefalograma [Score: 92];1;23
China;Chia [Score: 89];1;18
